"Date","Open","High","Low","Close","Volume"
#2000-01-03#,23.2381,23.8472,22.7228,23.2381,1771200
#2000-01-04#,22.1137,23.5192,22.1137,22.7228,2518000
#2000-01-05#,22.8633,24.1751,22.8633,24.1283,2044300
#2000-01-06#,24.1283,24.831,24.1283,24.6436,6476800
#2000-01-07#,24.7373,25.4401,24.7373,25.2996,1735900
#2000-01-10#,25.3933,25.7681,24.7842,24.831,1259800
#2000-01-11#,24.7373,24.831,24.3157,24.5499,1061500
#2000-01-12#,24.7373,24.9716,23.7535,24.222,2367800
#2000-01-13#,24.3625,25.159,24.3625,24.7842,1887700
#2000-01-14#,25.2996,26.2366,25.2527,26.1897,2520500
#2000-01-17#,25.2996,26.2366,25.2527,26.1897,2520500
#2000-01-18#,26.8456,27.5484,26.3771,27.4079,1912900
#2000-01-19#,27.3142,27.3142,26.7519,26.8456,1600800
#2000-01-20#,26.8456,28.6728,26.8456,28.4854,1884000
#2000-01-21#,30.3595,30.5469,28.9071,29.3756,3705200
#2000-01-24#,29.9847,29.9847,27.8295,28.1575,2082900
#2000-01-25#,28.1575,28.1575,27.361,27.7358,1581200
#2000-01-26#,27.7358,30.7343,27.689,30.4532,4106800
#2000-01-27#,30.3595,30.4063,28.5323,29.0945,2033500
#2000-01-28#,29.0476,29.1882,27.4547,28.3449,1704100
#2000-01-31#,28.5323,29.235,27.5953,28.5323,2029200
#2000-02-01#,29.0945,29.235,28.298,28.4854,2684600
#2000-02-02#,28.2512,29.0945,28.1106,28.9539,1723300
#2000-02-03#,28.5791,29.1413,28.4386,28.626,1479900
#2000-02-04#,28.5791,28.7665,28.0169,28.1575,1800900
#2000-02-07#,28.1575,29.235,28.1575,28.8134,1390500
#2000-02-08#,29.9847,31.2965,29.4225,31.1091,3403500
#2000-02-09#,31.437,31.4839,29.6567,30.6874,2555500
#2000-02-10#,31.3902,32.1398,30.6406,31.6713,3348600
#2000-02-11#,32.1867,32.2335,30.9685,31.4839,2946300
#2000-02-14#,31.6713,32.2335,31.2496,31.437,1492200
#2000-02-15#,31.437,32.6083,31.437,32.3272,3405800
#2000-02-16#,33.5453,33.8733,32.702,33.7327,3229900
#2000-02-17#,33.4048,33.4985,32.1398,32.5615,1605200
#2000-02-18#,32.3741,32.6552,30.6406,31.4839,2277900
#2000-02-21#,32.3741,32.6552,30.6406,31.4839,2277900
#2000-02-22#,31.4839,31.6244,30.5469,30.828,1481100
#2000-02-23#,31.2965,32.4209,30.5,30.5469,1708900
#2000-02-24#,30.5469,30.5469,29.3287,30.1252,1246500
#2000-02-25#,29.9378,30.0784,28.7665,29.4225,1029100
#2000-02-28#,29.891,30.9217,29.7036,30.7343,1912000
#2000-02-29#,30.7343,31.9056,30.2189,31.3433,1447300
#2000-03-01#,31.6713,33.639,31.5776,33.4985,2381400
