"Date","Open","High","Low","Close","Volume"
#2016-01-01#,18.1,18.1878,17.91,17.91,2209982
#2016-01-04#,17.56,17.64,17.38,17.62,5887826
#2016-01-05#,17.66,17.775,17.44,17.55,3689314
#2016-01-06#,17.32,17.36,17.1,17.15,4842123
#2016-01-07#,16.81,17.165,16.81,17.05,5841011
#2016-01-08#,17.09,17.28,16.85,16.91,4534944
#2016-01-11#,17.01,17.07,16.66,16.87,3320621
#2016-01-12#,17.07,17.22,16.69,17.03,3809290
#2016-01-13#,17.09,17.1,16.5099,16.59,4489783
#2016-01-14#,16.7,17.21,16.52,17.13,5083745
#2016-01-15#,16.66,16.83,16.35,16.64,5332765
#2016-01-18#,16.66,16.83,16.35,16.64,5332765
#2016-01-19#,16.89,16.9,16.255,16.44,5758472
#2016-01-20#,16.16,16.655,16.02,16.5,6444777
#2016-01-21#,16.54,17.14,16.42,16.91,6919944
#2016-01-22#,17.26,17.42,17.11,17.41,6242140
#2016-01-25#,17.35,17.4,16.89,16.94,5482613
#2016-01-26#,16.99,17.355,16.94,17.3,2909445
#2016-01-27#,17.17,17.44,16.79,16.85,5151409
#2016-01-28#,17.02,17.19,16.765,17.12,4701309
#2016-01-29#,17.19,17.89,17.17,17.84,7118240
#2016-02-01#,17.66,17.73,17.52,17.64,5949699
#2016-02-02#,17.385,17.4925,16.99,17.08,5565654
#2016-02-03#,17.24,17.37,16.94,17.28,4722238
#2016-02-04#,17.31,17.62,17.13,17.55,3567050
#2016-02-05#,17.55,17.815,17.35,17.56,6838522
#2016-02-08#,17.38,17.5,16.86,17.41,9625171
#2016-02-09#,17.05,17.27,16.89,17,7041767
#2016-02-10#,16.24,17.49,16.23,17.01,8090206
#2016-02-11#,16.59,17.03,16.48,16.88,8706545
#2016-02-12#,17.09,17.74,17.06,17.56,5008487
#2016-02-15#,17.09,17.74,17.06,17.56,5008487
#2016-02-16#,17.8,18.49,17.8,18.4,8626530
#2016-02-17#,18.52,18.79,18.24,18.49,6157017
#2016-02-18#,18.47,18.48,18.16,18.21,5808676
#2016-02-19#,18.13,18.29,18.08,18.19,6143751
#2016-02-22#,18.24,18.38,18.2,18.36,6544641
#2016-02-23#,18.13,18.38,17.94,17.95,5589312
#2016-02-24#,17.78,18.22,17.52,18.13,4516886
#2016-02-25#,18.21,18.37,18.02,18.35,3823598
#2016-02-26#,18.48,18.565,18.39,18.46,4449295
#2016-02-29#,18.39,18.6,18.25,18.26,4403038
#2016-03-01#,18.44,18.68,18.3,18.62,4289085
