"Date","Open","High","Low","Close","Volume"
#2009-01-01#,18.28,18.64,18.21,18.55,2606473
#2009-01-02#,18.59,18.95,18.49,18.84,2018219
#2009-01-05#,18.82,18.97,18.44,18.66,2908173
#2009-01-06#,18.74,19,18.32,18.42,3009412
#2009-01-07#,18.3,18.4,18.11,18.23,2523001
#2009-01-08#,18.16,18.47,18.16,18.47,2929612
#2009-01-09#,18.5,18.54,18.17,18.24,2778908
#2009-01-12#,18.28,18.4,18.15,18.36,2783753
#2009-01-13#,18.39,18.4,17.97,18.08,3041114
#2009-01-14#,18.03,18.12,17.71,17.97,3104341
#2009-01-15#,17.92,18.1,17.75,18.09,2682718
#2009-01-16#,18.26,18.4892,18.11,18.28,3378212
#2009-01-19#,18.26,18.4892,18.11,18.28,3378212
#2009-01-20#,18.34,18.51,17.93,17.98,3465245
#2009-01-21#,18.23,18.36,17.99,18.31,4334108
#2009-01-22#,18.21,18.57,17.94,18.44,4379324
#2009-01-23#,18.15,18.43,18.02,18.38,2803159
#2009-01-26#,18.45,18.77,18.39,18.63,2544207
#2009-01-27#,18.69,18.76,18.42,18.68,2646284
#2009-01-28#,18.94,18.94,18.5,18.69,3069624
#2009-01-29#,18.99,19.07,18.5,18.74,2798875
#2009-01-30#,18.75,18.84,18.34,18.46,2969975
#2009-02-02#,18.27,18.45,18,18.36,2733460
#2009-02-03#,18.35,18.59,18.19,18.46,2088192
#2009-02-04#,18.6,18.85,18.54,18.71,2825863
#2009-02-05#,18.69,18.99,18.52,18.88,2657844
#2009-02-06#,18.89,19.13,18.6695,19.03,2529693
#2009-02-09#,19.02,19.03,18.65,18.81,2048557
#2009-02-10#,18.65,18.87,18.18,18.25,2554810
#2009-02-11#,18.38,18.42,17.97,18.13,2445803
#2009-02-12#,17.9,18.15,17.7,18.14,2783687
#2009-02-13#,18.25,18.38,18,18.03,3053577
#2009-02-16#,18.25,18.38,18,18.03,3053577
#2009-02-17#,17.76,18.02,17.35,17.51,3722426
#2009-02-18#,17.59,17.84,17.35,17.7,4114215
#2009-02-19#,17.83,18.04,17.66,17.95,5225179
#2009-02-20#,17.74,17.94,17.58,17.73,4236722
#2009-02-23#,17.88,17.98,17.47,17.57,3689437
#2009-02-24#,17.67,18.1,17.57,18.04,3774995
#2009-02-25#,17.99,18.03,17.57,17.67,4840106
#2009-02-26#,17.82,17.98,17.44,17.5,3364701
#2009-02-27#,17.4,17.97,17.15,17.74,8044817
#2009-03-02#,17.46,17.7,17.13,17.15,3919235
#2009-03-03#,17.35,17.45,16.77,16.9,5880952
#2009-03-04#,17.12,17.25,16.72,16.91,3447004
#2009-03-05#,16.63,16.88,16.26,16.48,4219388
#2009-03-06#,16.61,17.01,16.2,16.57,4651665
#2009-03-09#,16.4,16.54,16.1,16.19,2951424
#2009-03-10#,16.45,16.65,16.3,16.62,4274323
#2009-03-11#,16.01,16.86,16.01,16.64,3410485
#2009-03-12#,16.64,17.1699,16.45,17.06,3868723
#2009-03-13#,17.1,17.29,16.94,17.2,4223992
#2009-03-16#,17.36,17.71,17.09,17.11,5193687
#2009-03-17#,17.31,17.51,16.95,17.37,2843343
#2009-03-18#,17.29,17.74,16.97,17.71,5048406
#2009-03-19#,17.87,18.29,17.67,18.18,5141877
#2009-03-20#,18.19,18.48,18.19,18.27,7440416
#2009-03-23#,18.41,18.79,18.25,18.77,3797840
#2009-03-24#,18.51,18.53,18.08,18.12,4623725
#2009-03-25#,18.31,18.36,17.9,18.12,3363314
#2009-03-26#,18.22,18.38,17.86,18.38,3799541
#2009-03-27#,18.19,18.34,18.1,18.25,2662275
#2009-03-30#,17.93,18.22,17.85,18.2,4619772
#2009-03-31#,18.32,18.87,18.22,18.63,6244790
#2009-04-01#,18.35,18.67,18.26,18.38,3628546
#2009-04-02#,18.51,18.76,17.94,17.99,6162435
#2009-04-03#,17.98,18.28,17.96,18.16,2529317
