"Date","Open","High","Low","Close","Volume"
#2001-01-01#,24.1702,24.4113,23.853,23.9545,687300
#2001-01-02#,24.0306,24.0306,23.0537,23.2821,1260300
#2001-01-03#,23.447,24.868,22.9395,24.5382,1278500
#2001-01-04#,24.3732,24.8934,24.056,24.1068,842700
#2001-01-05#,23.5358,24.0053,22.9395,23.5993,1737400
#2001-01-08#,23.3963,23.5993,23.1932,23.3582,421100
#2001-01-09#,23.6246,23.6246,22.9649,22.9649,216000
#2001-01-10#,23.0156,23.4978,22.8634,23.3455,402500
#2001-01-11#,23.5485,23.853,23.2947,23.3963,537600
#2001-01-12#,23.447,23.447,22.7872,22.9522,446000
#2001-01-15#,23.447,23.447,22.7872,22.9522,446000
#2001-01-16#,23.041,24.056,22.8634,23.3582,704200
#2001-01-17#,23.6754,23.7008,23.244,23.3963,442200
#2001-01-18#,23.3201,23.3201,22.8887,23.0537,390100
#2001-01-19#,23.1425,23.1425,22.7365,22.8887,541700
#2001-01-22#,22.9395,23.5231,22.9395,23.2947,237000
#2001-01-23#,23.3074,23.7008,23.2186,23.5231,340100
#2001-01-24#,23.65,23.9418,23.5739,23.6627,3278400
#2001-01-25#,23.9418,23.9672,23.5485,23.8784,1376400
#2001-01-26#,23.7896,24.0053,23.65,23.9672,795800
#2001-01-29#,24.2387,24.2793,23.9383,23.987,222000
#2001-01-30#,24.1169,24.2306,23.7515,24.1981,313700
#2001-01-31#,24.2387,24.2793,23.8246,23.8977,376900
#2001-02-01#,23.9951,24.1169,23.8408,23.9302,186700
#2001-02-02#,24.1332,24.2631,23.922,23.9951,181600
#2001-02-05#,24.1575,24.1981,23.8896,24.1575,209800
#2001-02-06#,24.1332,24.1332,23.6459,23.6865,505300
#2001-02-07#,23.8408,23.9058,23.4754,23.6297,254600
#2001-02-08#,23.7921,23.8571,23.4429,23.5647,2313200
#2001-02-09#,23.3861,23.7759,23.3536,23.6622,290000
#2001-02-12#,23.7596,24.052,23.6947,23.9951,2029300
#2001-02-13#,24.1413,24.1413,23.7596,23.8571,643000
#2001-02-14#,23.8733,23.8733,23.4592,23.581,112400
#2001-02-15#,23.5079,23.6541,23.2968,23.581,500600
#2001-02-16#,23.3049,23.7759,23.2968,23.5891,683900
#2001-02-19#,23.3049,23.7759,23.2968,23.5891,683900
#2001-02-20#,23.6297,23.6297,22.6634,22.7202,330600
#2001-02-21#,22.5335,22.8583,22.0463,22.0463,463400
#2001-02-22#,21.9245,22.2006,21.2586,22.2006,536700
#2001-02-23#,22.0057,22.2736,21.4373,22.095,556500
#2001-02-26#,22.298,22.5822,21.9082,22.5822,204700
#2001-02-27#,22.5984,23.0369,22.4279,22.8258,353000
#2001-02-28#,22.6553,22.8502,22.0382,22.2899,869700
#2001-03-01#,22.1275,22.3224,21.8595,22.3142,670900
#2001-03-02#,22.0706,22.6553,22.0706,22.3467,537300
#2001-03-05#,22.5335,22.5335,21.9326,22.233,750600
#2001-03-06#,22.436,22.7202,22.2493,22.298,321200
#2001-03-07#,22.4929,22.8339,22.1356,22.769,510000
#2001-03-08#,22.8339,23.0938,22.6959,22.8583,434600
#2001-03-09#,22.4523,22.5741,22.2006,22.3305,363400
#2001-03-12#,21.8108,21.957,20.7146,21.2343,790200
#2001-03-13#,21.4697,21.8108,21.1774,21.8027,1230600
#2001-03-14#,20.7958,21.2992,20.544,20.7958,2047700
#2001-03-15#,21.3155,21.5185,21.0962,21.421,516000
#2001-03-16#,21.5347,21.5347,20.95,21.0719,695500
#2001-03-19#,21.0719,21.421,20.7064,21.3155,347800
#2001-03-20#,21.4779,21.5103,20.6577,20.7227,1555100
#2001-03-21#,20.544,20.8851,19.9756,20.1218,1279900
#2001-03-22#,19.7726,19.8863,18.985,19.6021,1627200
#2001-03-23#,19.7483,20.4791,19.732,20.4304,506700
#2001-03-26#,20.7714,20.9582,20.5278,20.7552,621500
#2001-03-27#,20.6821,21.4535,20.4791,21.3398,376800
#2001-03-28#,21.1125,21.3398,20.9338,21.2261,227300
#2001-03-29#,21.0719,21.3073,20.9744,21.1774,114900
#2001-03-30#,21.1531,21.5509,21.1531,21.5509,205200
#2001-04-02#,21.3236,21.9976,21.3236,21.6484,2459100
#2001-04-03#,21.4454,21.5753,20.8364,20.9176,747000
#2001-04-04#,20.8282,20.8282,20.1786,20.406,2750400
#2001-04-05#,20.9906,21.2261,20.8201,21.1531,1033700
#2001-04-06#,20.812,21.1855,20.4547,20.6821,5389300
#2001-04-09#,20.7064,20.9825,20.5928,20.674,652100
#2001-04-10#,20.95,21.4048,20.95,21.2749,302200
#2001-04-11#,21.6809,21.7133,21.3723,21.4535,1104600
#2001-04-12#,21.5347,21.6809,21.3561,21.6159,4693900
#2001-04-13#,21.5347,21.6809,21.3561,21.6159,4693900
#2001-04-16#,21.8027,21.8108,21.3155,21.4616,293400
#2001-04-17#,21.3236,21.6727,21.2667,21.6403,705500
#2001-04-18#,21.9245,23.5404,21.8189,22.5497,4532300
#2001-04-19#,22.5416,22.8177,22.4929,22.6715,991400
#2001-04-20#,22.4685,22.5416,22.1924,22.2818,522700
#2001-04-23#,22.1356,22.2574,21.8757,22.0057,494900
#2001-04-24#,22.1275,22.2493,21.8351,21.892,96100
#2001-04-25#,21.8351,22.1518,21.7458,22.1275,472800
#2001-04-26#,22.1437,22.4604,22.1437,22.2168,730900
#2001-04-27#,22.4604,22.7284,22.4117,22.6959,751600
#2001-04-30#,22.7446,22.8989,22.298,22.3305,392400
#2001-05-01#,22.2574,22.5822,22.2168,22.5172,681300
#2001-05-02#,22.704,22.8177,22.4685,22.6959,261000
#2001-05-03#,22.4929,22.7121,22.3711,22.704,311700
#2001-05-04#,22.4848,23.0451,22.4604,22.9801,138100
#2001-05-07#,22.9314,22.9314,22.6715,22.8339,81100
#2001-05-08#,22.7446,22.842,22.5903,22.5984,103800
#2001-05-09#,22.566,22.639,22.4117,22.5741,575600
#2001-05-10#,22.8177,22.8177,22.5172,22.5822,167900
#2001-05-11#,22.7527,22.7527,22.2655,22.3711,162900
#2001-05-14#,22.3954,22.5822,22.2899,22.5578,48200
#2001-05-15#,22.639,22.9395,22.5416,22.6959,217300
#2001-05-16#,22.6959,23.378,22.5822,23.3049,521000
#2001-05-17#,23.2887,23.4186,23.1181,23.1831,326400
#2001-05-18#,23.2724,23.2724,22.9233,23.0532,158200
#2001-05-21#,23.1181,23.4186,22.9557,23.378,192400
#2001-05-22#,23.4592,23.8165,23.378,23.6135,454900
#2001-05-23#,23.6947,23.6947,23.3942,23.516,824600
#2001-05-24#,23.6459,23.7434,23.516,23.6053,150100
#2001-05-25#,23.581,23.6541,23.2887,23.2887,320700
#2001-05-28#,23.581,23.6541,23.2887,23.2887,320700
#2001-05-29#,23.4998,23.4998,23.1993,23.3049,657000
#2001-05-30#,23.3211,23.4998,23.0938,23.11,476300
#2001-05-31#,23.1425,23.313,22.9882,23.313,164100
#2001-06-01#,23.1831,23.3374,23.0207,23.2724,144500
#2001-06-04#,23.3374,23.4592,23.1587,23.4592,34400
#2001-06-05#,23.5404,23.6865,23.4267,23.5647,457200
#2001-06-06#,23.4511,23.4754,23.1912,23.3861,460000
#2001-06-07#,23.1912,23.2887,22.9882,23.2318,986700
#2001-06-08#,23.0207,23.1425,22.9314,23.0938,589800
#2001-06-11#,23.0288,23.1587,22.842,22.8745,151500
#2001-06-12#,22.6553,22.9639,22.5497,22.9476,615700
#2001-06-13#,22.8177,23.11,22.6878,22.7608,784900
#2001-06-14#,22.639,22.639,22.363,22.363,1116800
#2001-06-15#,22.2736,22.436,22.0382,22.3954,2027200
#2001-06-18#,22.4523,22.5335,22.16,22.4523,315400
#2001-06-19#,22.8014,22.825,22.5984,22.6553,1447900
#2001-06-20#,22.6553,23.0451,22.6553,22.7771,554700
#2001-06-21#,22.9395,23.6947,22.9395,23.6947,605100
#2001-06-22#,23.6297,23.6297,23.3374,23.3861,421000
#2001-06-25#,23.4267,23.516,23.0857,23.1993,200300
#2001-06-26#,22.7365,23.0451,22.7365,22.907,783500
#2001-06-27#,22.9395,23.2805,22.9151,22.9151,380100
#2001-06-28#,23.1181,23.3942,23.0369,23.2156,234200
#2001-06-29#,23.1425,23.175,22.9476,23.0613,786400
#2001-07-02#,23.1831,23.4023,23.0857,23.3455,149900
#2001-07-03#,23.3049,23.4105,23.2562,23.3293,105300
#2001-07-04#,23.3049,23.4105,23.2562,23.3293,105300
#2001-07-05#,23.3374,23.4186,23.1669,23.1831,109000
#2001-07-06#,23.0207,23.0369,22.6878,22.7121,706500
#2001-07-09#,22.7771,22.8177,22.5578,22.7852,876400
#2001-07-10#,22.8014,22.8014,22.233,22.233,1134700
#2001-07-11#,22.1681,22.2493,21.8595,22.1924,7491600
#2001-07-12#,22.2087,22.6634,22.2087,22.5822,385900
#2001-07-13#,22.5091,22.8583,22.5091,22.8502,171300
#2001-07-16#,22.8827,23.0613,22.5254,22.5254,495900
#2001-07-17#,22.5416,22.9882,22.4848,22.9882,281900
#2001-07-18#,22.7365,22.9395,22.6715,22.8583,615500
#2001-07-19#,23.0451,23.0613,22.6147,22.704,207800
#2001-07-20#,22.5741,22.6715,22.5497,22.5984,329000
#2001-07-23#,22.5497,22.7284,22.4117,22.4766,47600
#2001-07-24#,22.3467,22.501,22.1437,22.1843,126400
#2001-07-25#,22.0869,22.3711,22.0625,22.3548,240400
#2001-07-26#,22.2087,22.5416,22.2087,22.5335,211900
#2001-07-27#,22.4117,22.7284,22.4117,22.6634,55700
#2001-07-30#,22.5741,22.6715,22.5335,22.5903,197800
#2001-07-31#,22.6959,22.9963,22.639,22.842,105100
#2001-08-01#,22.8827,23.0857,22.7365,22.9395,81100
#2001-08-02#,23.1263,23.1263,22.907,22.907,89800
#2001-08-03#,22.9476,23.0045,22.769,23.0045,100200
#2001-08-06#,22.8583,22.972,22.6228,22.6715,187100
#2001-08-07#,22.769,22.9151,22.6796,22.9151,211300
#2001-08-08#,22.7365,22.8502,22.4523,22.4523,1548900
#2001-08-09#,22.4929,22.5578,22.3386,22.5578,567800
#2001-08-10#,22.4523,22.639,22.3305,22.5741,164000
#2001-08-13#,22.6553,22.6715,22.4117,22.5497,65500
#2001-08-14#,22.6147,22.769,22.4604,22.5578,316900
#2001-08-15#,22.5172,22.704,22.4604,22.4685,91900
#2001-08-16#,22.3873,22.4685,22.233,22.4036,364000
#2001-08-17#,22.2493,22.3711,21.9813,22.0706,311800
#2001-08-20#,22.0869,22.3061,22.0869,22.2899,1840600
#2001-08-21#,22.2493,22.5984,22.0138,22.0138,628900
#2001-08-22#,22.1275,22.2655,21.9651,22.1112,1688000
#2001-08-23#,22.1275,22.233,22.0544,22.1194,178800
#2001-08-24#,22.0463,22.2412,21.9813,22.1762,373200
#2001-08-27#,22.2087,22.2087,21.892,21.957,1028700
#2001-08-28#,21.8839,21.9245,21.6078,21.6078,781900
#2001-08-29#,21.7458,21.7702,21.3723,21.4129,697800
#2001-08-30#,21.3967,21.5185,21.1855,21.2667,572800
#2001-08-31#,21.3967,21.5997,21.2586,21.3317,1001200
