"Date","Open","High","Low","Close","Volume"
#2011-01-03#,25.38,25.61,25.38,25.47,7427558
#2011-01-04#,25.59,25.62,25.4,25.57,9191627
#2011-01-05#,25.52,25.75,25.47,25.72,11837352
#2011-01-06#,25.78,25.87,25.67,25.87,11044908
#2011-01-07#,25.85,25.87,25.5305,25.75,8915519
#2011-01-10#,25.72,25.815,25.6011,25.7725,10333224
#2011-01-11#,25.86,25.88,25.65,25.73,8391966
#2011-01-12#,25.88,25.98,25.79,25.96,13580062
#2011-01-13#,25.98,26.01,25.86,25.94,13044685
#2011-01-14#,25.96,26.17,25.91,26.17,7853343
#2011-01-17#,25.96,26.17,25.91,26.17,7853343
#2011-01-18#,26.01,26.23,25.98,26.1975,8633993
#2011-01-19#,26.26,26.26,25.9301,26.01,11215527
#2011-01-20#,25.92,25.925,25.65,25.87,15358846
#2011-01-21#,26.02,26.03,25.71,25.72,11631642
#2011-01-24#,25.73,26.1,25.725,26.08,18491745
#2011-01-25#,26.02,26.21,25.96,26.2,11014411
#2011-01-26#,26.27,26.43,26.2001,26.35,8285476
#2011-01-27#,26.36,26.52,26.29,26.44,9052408
#2011-01-28#,26.47,26.47,25.74,25.83,16182134
#2011-01-31#,25.85,25.99,25.7,25.99,13986494
#2011-02-01#,26.18,26.485,26.15,26.43,12372659
#2011-02-02#,26.3701,26.53,26.3701,26.4775,8747687
#2011-02-03#,26.47,26.58,26.25,26.52,11464441
#2011-02-04#,26.57,26.71,26.47,26.69,7567596
#2011-02-07#,26.75,26.95,26.7401,26.8225,9798322
#2011-02-08#,26.88,26.95,26.77,26.9325,5188543
#2011-02-09#,26.89,26.96,26.8,26.88,5189094
#2011-02-10#,26.67,26.83,26.57,26.76,7838558
#2011-02-11#,26.77,26.94,26.7,26.9025,12749773
#2011-02-14#,26.88,26.99,26.8668,26.94,5941748
#2011-02-15#,26.89,26.89,26.74,26.84,6042371
#2011-02-16#,26.92,27.02,26.84,26.9875,6786533
#2011-02-17#,26.86,27.07,26.84,27.04,6648885
#2011-02-18#,27.07,27.09,26.93,27,6334004
#2011-02-21#,27.07,27.09,26.93,27,6334004
#2011-02-22#,26.66,26.79,26.29,26.34,22346802
#2011-02-23#,26.25,26.3,25.87,26.03,12256295
#2011-02-24#,26.05,26.2,25.825,26.12,11360512
#2011-02-25#,26.29,26.48,26.24,26.45,7803731
#2011-02-28#,26.54,26.63,26.38,26.56,9253326
#2011-03-01#,26.61,26.66,26.0311,26.05,14553166
#2011-03-02#,26.09,26.4064,26.06,26.21,9927222
#2011-03-03#,26.46,26.64,26.45,26.63,9558403
#2011-03-04#,26.63,26.63,26.26,26.415,13935373
#2011-03-07#,26.53,26.53,25.92,26.08,14859069
#2011-03-08#,26.1,26.4085,26,26.2975,10990798
#2011-03-09#,26.22,26.2912,26.03,26.19,11913747
#2011-03-10#,25.89,25.91,25.66,25.7,15018778
#2011-03-11#,25.56,25.9,25.56,25.8,11415684
#2011-03-14#,25.67,25.845,25.53,25.68,9655339
#2011-03-15#,24.93,25.43,24.87,25.3,14937469
#2011-03-16#,25.16,25.25,24.52,24.6825,21457058
#2011-03-17#,25.02,25.18,24.9,24.94,10960303
#2011-03-18#,25.19,25.2,24.87,24.9,18482544
#2011-03-21#,25.3,25.47,25.26,25.3225,8929770
#2011-03-22#,25.36,25.38,25.25,25.28,9204184
#2011-03-23#,25.22,25.485,25.11,25.42,5835678
#2011-03-24#,25.62,25.85,25.5,25.8175,10413266
#2011-03-25#,25.9,26.02,25.85,25.88,6250173
#2011-03-28#,25.98,26.04,25.8,25.82,8270766
#2011-03-29#,25.79,26.01,25.67,26,5157457
#2011-03-30#,26.15,26.17,26.05,26.11,6232308
#2011-03-31#,26.07,26.15,26.02,26.0625,6217289
#2011-04-01#,26.18,26.24,25.93,26.01,10984136
#2011-04-04#,26.07,26.08,25.82,25.92,5871603
#2011-04-05#,25.91,26.07,25.85,25.88,9920373
#2011-04-06#,26.06,26.11,25.92,26.07,10946565
#2011-04-07#,26.04,26.17,25.87,26.08,9169426
#2011-04-08#,26.18,26.18,25.84,25.93,6369168
#2011-04-11#,25.97,26.03,25.81,25.89,5796921
#2011-04-12#,25.74,25.81,25.5901,25.68,8064577
#2011-04-13#,25.81,25.94,25.7,25.84,7224881
#2011-04-14#,25.71,25.82,25.5681,25.79,5508044
#2011-04-15#,25.72,25.8,25.59,25.74,10205916
#2011-04-18#,25.47,25.52,25.2,25.51,8842153
#2011-04-19#,25.54,25.58,25.421,25.58,9971056
#2011-04-20#,25.96,26.16,25.94,26.119,9284326
#2011-04-21#,26.36,26.37,26.22,26.35,10249929
#2011-04-22#,26.36,26.37,26.22,26.35,10249929
#2011-04-25#,26.35,26.4,26.29,26.37,6259662
#2011-04-26#,26.43,26.679,26.39,26.59,7188482
#2011-04-27#,26.65,26.79,26.54,26.75,8029271
#2011-04-28#,26.69,26.79,26.64,26.76,8496279
#2011-04-29#,26.74,26.79,26.66,26.74,7497706
#2011-05-02#,26.86,26.89,26.61,26.64,6708080
#2011-05-03#,26.64,26.7,26.48,26.65,8164376
#2011-05-04#,26.66,26.71,26.39,26.57,10963990
#2011-05-05#,26.5,26.7,26.34,26.43,13436166
#2011-05-06#,26.66,26.8,26.455,26.48,10697441
#2011-05-09#,26.54,26.68,26.44,26.59,3981139
#2011-05-10#,26.65,26.86,26.61,26.83,13603947
#2011-05-11#,26.82,26.88,26.44,26.59,11849315
#2011-05-12#,26.52,26.8201,26.3709,26.79,10984080
#2011-05-13#,26.6902,26.72,26.4329,26.46,10207689
