"Date","Open","High","Low","Close","Volume"
#2010-01-01#,30.14,30.19,29.77,29.77,1620320
#2010-01-04#,29.9,30.11,29.9,30,5443829
#2010-01-05#,30.01,30.14,29.82,30.11,6162128
#2010-01-06#,30.09,30.215,30.02,30.15,4246834
#2010-01-07#,30.34,30.41,30.135,30.4,5736620
#2010-01-08#,30.29,30.41,30.12,30.39,6437978
#2010-01-11#,30.45,30.54,30.17,30.33,4173441
#2010-01-12#,30.15,30.22,29.815,29.94,5473309
#2010-01-13#,30.06,30.33,29.96,30.28,4615799
#2010-01-14#,30.19,30.32,30.13,30.28,5640292
#2010-01-15#,30.22,30.34,29.88,29.98,5889430
#2010-01-18#,30.22,30.34,29.88,29.98,5889430
#2010-01-19#,30.13,30.38,29.86,30.38,4418457
#2010-01-20#,30.14,30.18,29.81,29.97,5028100
#2010-01-21#,29.98,30.25,29.54,29.59,6786508
#2010-01-22#,29.47,29.7,29,29.02,10092024
#2010-01-25#,29.21,29.3,28.98,29.17,5311561
#2010-01-26#,29.02,29.41,28.96,29.21,5506861
#2010-01-27#,29.22,29.3599,28.96,29.26,7041715
#2010-01-28#,29.39,29.53,28.92,29.09,6292576
#2010-01-29#,29.16,29.49,28.89,28.91,7362922
#2010-02-01#,28.97,29.28,28.94,29.28,8877042
#2010-02-02#,29.35,29.7,29.18,29.69,5493693
#2010-02-03#,29.61,29.78,29.53,29.71,4863368
#2010-02-04#,29.47,29.54,28.84,28.85,10126158
#2010-02-05#,28.84,28.97,28.21,28.77,8303894
#2010-02-08#,28.83,29.06,28.59,28.59,6376842
#2010-02-09#,28.84,29.21,28.74,29.03,6904881
#2010-02-10#,29.06,29.07,28.66,28.91,5566220
#2010-02-11#,28.83,29.25,28.65,29.25,5827509
#2010-02-12#,28.91,29.25,28.85,29.25,6334366
#2010-02-15#,28.91,29.25,28.85,29.25,6334366
#2010-02-16#,29.56,29.72,29.28,29.72,4520870
#2010-02-17#,29.85,29.96,29.675,29.96,4630828
#2010-02-18#,29.89,30.16,29.8,30.15,5917602
#2010-02-19#,30.17,30.32,30.0099,30.22,5749920
#2010-02-22#,30.31,30.35,30.15,30.21,3557171
#2010-02-23#,30.15,30.32,29.93,30.03,5725299
#2010-02-24#,30.17,30.45,30.04,30.42,6335959
#2010-02-25#,29.9,30.48,29.9,30.47,5719001
#2010-02-26#,30.48,30.6,30.3,30.52,6311194
#2010-03-01#,30.67,31.02,30.575,31,8155206
#2010-03-02#,31.05,31.125,30.84,30.84,11935446
#2010-03-03#,30.94,31.14,30.8007,30.93,5255207
#2010-03-04#,31.04,31.26,30.99,31.21,4601072
#2010-03-05#,31.44,31.87,31.32,31.79,4801575
