"Date","Open","High","Low","Close","Volume"
#2017-01-02#,90.03,90.7,90.01,90.26,9117830
#2017-01-03#,90.94,91.34,90.15,90.89,10360622
#2017-01-04#,91.12,91.15,89.75,89.89,9434240
#2017-01-05#,90.19,90.3,88.44,88.55,14443183
#2017-01-06#,88.79,88.98,87.82,88.5,16518128
#2017-01-09#,88.22,88.22,86.55,87.04,13762259
#2017-01-10#,87.17,87.31,85.91,85.93,13283083
#2017-01-11#,85.9,86.95,85.86,86.81,11183689
#2017-01-12#,87.27,87.38,86.07,86.34,10407049
#2017-01-13#,86.27,86.68,86.17,86.35,8415603
#2017-01-16#,86.27,86.68,86.17,86.35,8415603
#2017-01-17#,86.58,87.39,86.25,87.36,13237348
#2017-01-18#,87.06,87.41,86.05,86.28,11831695
#2017-01-19#,85.97,86.1,84.59,84.73,16382903
#2017-01-20#,85.44,85.96,85.05,85.89,18739659
#2017-01-23#,85.68,85.88,84.75,84.97,11433897
#2017-01-24#,84.98,85.47,84.825,85.09,11858111
#2017-01-25#,85.34,85.88,85.25,85.34,9578522
#2017-01-26#,85.69,85.83,85.12,85.6,8779446
#2017-01-27#,85.3,85.75,85.0441,85.51,10947882
#2017-01-30#,85.42,85.45,84.175,84.86,12789183
#2017-01-31#,85.04,85.07,83.13,83.89,19128106
#2017-02-01#,84,84.16,82.54,82.94,15111832
#2017-02-02#,83.21,83.53,82.55,83.45,12200100
#2017-02-03#,83.7,83.72,82.9,83.54,12746286
#2017-02-06#,83.55,83.65,82.93,83.31,9938198
#2017-02-07#,83.23,83.62,82.45,82.77,11705199
#2017-02-08#,81.99,82.12,81.17,81.48,14006281
#2017-02-09#,81.8,82.05,81.665,81.84,9602988
#2017-02-10#,82.26,82.77,82.13,82.52,8739814
#2017-02-13#,82.77,83.1837,82.35,83,9071638
#2017-02-14#,82.91,83.1,82.06,82.82,11370525
#2017-02-15#,82.64,83.18,82.4634,83.16,11768513
#2017-02-16#,83.12,83.42,82.17,82.3,10614956
#2017-02-17#,82.09,82.19,81.44,81.76,15645973
#2017-02-20#,82.09,82.19,81.44,81.76,15645973
#2017-02-21#,82.12,82.15,81.3,81.89,16419612
#2017-02-22#,81.65,81.7,80.87,80.93,12917374
#2017-02-23#,81.42,82.22,81.03,81.78,13847038
#2017-02-24#,81.6,81.8,80.76,81.08,11338715
#2017-02-27#,81.13,81.71,80.81,81.54,13465948
#2017-02-28#,81.53,81.99,81.05,81.32,16834163
#2017-03-01#,81.7,83.33,81.7,83.02,17482122
#2017-03-02#,82.8,84.25,82.79,83.3,14170309
#2017-03-03#,83.56,83.6,82.26,82.46,12304096
#2017-03-06#,82.44,82.9,82.331,82.83,9617240
