"Date","Open","High","Low","Close","Volume"
#2007-01-01#,77.8,78.58,77.8,78.38,850000
#2007-01-02#,77.8,78.58,77.8,78.38,850000
#2007-01-03#,78.78,79.19,76.9,77.1,1792400
#2007-01-04#,78.25,78.92,77.51,78.82,2053400
#2007-01-05#,78.35,78.96,77.9315,78.77,1220400
#2007-01-08#,78.8,79,78.1,78.26,1806100
#2007-01-09#,78.42,79.22,78.31,78.31,1170900
#2007-01-10#,78.17,78.37,77.61,78.05,953800
#2007-01-11#,78.4,78.85,78.12,78.5,1373800
#2007-01-12#,78.4,79.53,78.4,78.68,1342600
#2007-01-15#,78.4,79.53,78.4,78.68,1342600
#2007-01-16#,78.65,78.9,78.39,78.7,1165300
#2007-01-17#,78.88,79.5,78.44,79.31,1109000
#2007-01-18#,79.5,79.9,78.7,79.32,1692900
#2007-01-19#,79.48,79.48,78,78.67,1368600
#2007-01-22#,78.67,79.23,78.26,78.77,1107900
#2007-01-23#,78.87,79.84,78.52,78.77,855700
#2007-01-24#,78.85,79.12,78.68,79.11,1182300
#2007-01-25#,79.36,79.4,78.52,78.54,804800
#2007-01-26#,78.5,79.04,78.29,78.73,1662500
#2007-01-29#,78.7,80.34,78.51,80.13,2456500
#2007-01-30#,82.05,85,81.65,84.87,5420200
#2007-01-31#,83.15,84.9,83,84.22,3631100
#2007-02-01#,83.4,84.12,82.93,83.1,3347800
#2007-02-02#,83.1,83.71,82.44,82.75,1418200
#2007-02-05#,82.8,83.98,82.59,83.77,2581100
#2007-02-06#,83.45,84.13,83.22,83.99,1776100
#2007-02-07#,83.67,85.16,83.52,85.11,2158500
#2007-02-08#,85.65,85.94,84.96,85.09,3163000
#2007-02-09#,84.35,84.95,83.44,83.76,1409300
#2007-02-12#,83.75,83.75,82.66,83.25,938422
#2007-02-13#,83.07,84.39,82.78,84.18,1249308
#2007-02-14#,84.09,84.96,83.92,84.62,1472918
#2007-02-15#,84.43,84.92,83.66,84.84,1435700
#2007-02-16#,84.51,85.01,83.9,84.92,956800
#2007-02-19#,84.51,85.01,83.9,84.92,956800
#2007-02-20#,85.45,87.27,84.98,86.79,2462100
#2007-02-21#,86.1,86.65,85.52,86.1,1358700
#2007-02-22#,85.88,86.21,85.25,85.97,1045400
#2007-02-23#,85.65,85.85,85.08,85.51,688100
#2007-02-26#,85.7,85.8,85.1,85.37,668105
#2007-02-27#,84.8,87.14,81.742,83.74,2336200
#2007-02-28#,83.73,84.95,83.31,84.27,1610500
#2007-03-01#,83.29,84.49,82.76,83.92,1340530
#2007-03-02#,83.95,84.66,83.51,83.91,1385800
#2007-03-05#,82.9,83.47,82.72,83.15,1694500
#2007-03-06#,83.4,84,82.8,83.77,1236100
#2007-03-07#,83.75,84.51,83.32,83.55,807300
#2007-03-08#,83.9,84.98,83.65,84.83,1428100
#2007-03-09#,84.9,85,84.32,84.6,809900
#2007-03-12#,84.65,85.5,83.91,85.33,1120200
#2007-03-13#,84.59,86.19,84.59,84.93,1288600
#2007-03-14#,85.03,85.96,84.7,85.48,1428600
#2007-03-15#,85.28,85.77,84.93,85.67,717219
#2007-03-16#,85.95,86.28,85.14,85.47,1265900
#2007-03-19#,85.85,86.3,85.35,86.15,844100
#2007-03-20#,86.6,88.18,86.21,87.81,1911600
#2007-03-21#,87.44,87.44,86.01,87.02,2244953
#2007-03-22#,87.2,87.23,86.58,86.98,1678700
#2007-03-23#,86.98,87.15,86.32,86.86,911600
#2007-03-26#,86.85,87.07,85.89,86.23,1236181
#2007-03-27#,86,86.32,85.44,85.77,1032800
#2007-03-28#,85.56,85.96,85,85.52,881000
#2007-03-29#,86.15,86.39,85.3,85.73,810310
#2007-03-30#,85.5,86,85.13,85.41,1107629
#2007-04-02#,85.75,86.19,85.19,85.7,742028
#2007-04-03#,85.95,87.37,85.93,87.2,1559800
#2007-04-04#,86.99,88.36,86.71,88.16,1274800
#2007-04-05#,88.1,88.21,87.52,88.05,768700
